Water Pump ID,Water Source Type,Water Quality,Distance to Nearest Town,Population Served,Installation Year,Funder,Payment Type,Water Pump Age,Pump Type,GPS Coordinates,Functioning Status
,['Lake'],['Contaminated'],[37],[13000],2013,['Oxfam'],['Free'],11,['Motorized Pump'],"(-20.67198913291349, 24.746128503619605)",['Not Functioning']
WP002,['Lake'],['Contaminated'],[7],[11000],1992,['Red Cross'],['Free'],,['Motorized Pump'],"(-20.1572824836628, 25.785519228894568)",['Functioning']
WP003,['Lake'],['Contaminated'],[45],[10000],1993,,['Pay per use'],31,['Motorized Pump'],"(-23.738541808906408, 22.35524615620675)",['Functioning']
WP004,['Well'],,[8],[14000],,['Red Cross'],['Free'],26,,"(-18.36056864442109, 26.51297537093867)",
WP005,['Lake'],['Contaminated'],[29],[9000],2006,['Red Cross'],['Free'],18,['Motorized Pump'],"(-18.907022503646278, 26.194293298026714)",['Functioning']
WP006,['Lake'],['Contaminated'],[30],[16000],2012,['World Bank'],,12,['Hand Pump'],"(-19.840324862274368, 26.915959737907563)",['Not Functioning']
WP007,['Lake'],['Contaminated'],[19],[13000],2019,,['Pay per use'],5,['Solar Pump'],"(-23.72265846290731, 26.728850820803153)",['Functioning']
WP008,['Lake'],['Contaminated'],[26],[9000],2001,['USAID'],['Pay per use'],,['Motorized Pump'],"(-21.40336983604733, 22.312906454707438)",['Functioning']
,['Borehole'],['Clean'],[33],,1993,['World Bank'],,31,['Motorized Pump'],"(-22.49030853439464, 22.917963463223906)",['Not Functioning']
WP010,['Lake'],['Clean'],[49],,2006,['UNICEF'],['Pay per use'],18,['Motorized Pump'],"(-22.778953569402724, 27.518663950805283)",['Functioning']
WP011,['Well'],['Contaminated'],[53],[11000],1993,['World Bank'],['Pay per use'],31,['Motorized Pump'],"(-18.730314031285896, 26.114243607349525)",['Functioning']
WP012,['Lake'],['Contaminated'],[7],[13000],1993,['Red Cross'],['Free'],,['Motorized Pump'],"(-18.625498375916887, 25.903805031040424)",
WP013,['Lake'],['Clean'],[10],,1994,['World Bank'],['Pay per use'],30,['Motorized Pump'],"(-18.314083048110017, 25.44677966816833)",['Not Functioning']
WP014,['Lake'],['Contaminated'],[9],[16000],2004,['World Bank'],['Pay per use'],20,['Motorized Pump'],"(-17.6066421076916, 26.724529688580375)",['Functioning']
WP015,['Borehole'],['Clean'],[48],[16000],2007,,['Free'],17,['Motorized Pump'],"(-23.33314590026112, 20.953715194372503)",
,['Well'],['Clean'],[34],,1991,['USAID'],['Pay per use'],33,['Motorized Pump'],"(-22.373685630684438, 21.283729514974148)",['Functioning']
WP017,['Well'],,[14],,2003,['Red Cross'],['Pay per use'],,['Motorized Pump'],"(-22.27945872951994, 24.276202232328913)",['Functioning']
